time,F1_ORIGINAL
7357.62,665.717
7357.72,656.002
7357.82,645.741
7357.92,634.94
7358.02,517.033
7358.12,507.201
7358.22,496.942
7358.32,486.261
7358.42,475.167
7358.52,463.666
7358.62,451.767
7358.72,439.478
7358.82,426.807
7358.92,413.763
7359.02,478.057
7359.12,461.622
7359.22,444.775
7359.32,427.528
7359.42,409.89
7359.52,391.876
7359.62,373.497
7359.72,354.766
7359.82,335.695
7359.92,316.298
7360.02,277.984
7360.12,259.23
7360.22,240.207
7360.32,220.93
7360.42,201.411
7360.52,181.664
7360.62,161.702
7360.72,141.539
7360.82,121.189
7360.92,100.665
7361.02,84.0751
7361.12,62.1814
7361.22,40.1502
7361.32,17.9966
7361.42,0
7361.52,0
7361.62,0
7361.72,0
7361.82,0
7361.92,0
7362.02,0
7362.12,0
7362.22,0
7362.32,0
7362.42,0
7362.52,0
7362.62,0
7362.72,0
7362.82,0
7362.92,0
7363.02,0
7363.12,0
7363.22,0
7363.32,0
7363.42,0
7363.52,0
7363.62,0
7363.72,0
7363.82,0
7363.92,0
7364.02,0
7364.12,0
7364.22,0
7364.32,0
7364.42,0
7364.52,0
7364.62,0
7364.72,0
7364.82,0
7364.92,0
7365.02,0
7365.12,0
7365.22,0
7365.32,0
7365.42,0
7365.52,0
7365.62,0
7365.72,0
7365.82,0
7365.92,0
7366.02,0
7366.12,0
7366.22,0
7366.32,0
7366.42,0
7366.52,0
7366.62,0
7366.72,0
7366.82,0
7366.92,0
7367.02,0
7367.12,0
7367.22,0
7367.32,0
7367.42,0
7367.52,0
7367.62,0
7367.72,0
7367.82,0
7367.92,0
7368.02,0
7368.12,0
7368.22,0
7368.32,0
7368.42,0
7368.52,0
7368.62,0
7368.72,0
7368.82,0
7368.92,0
7369.02,0
7369.12,0
7369.22,0
7369.32,0
7369.42,0
7369.52,0
7369.62,0
7369.72,0
7369.82,0
7369.92,0
7370.02,0
7370.12,0
7370.22,0
7370.32,0
7370.42,0
7370.52,0
7370.62,0
7370.72,0
7370.82,0
7370.92,0
7371.02,0
7371.12,0
7371.22,0
7371.32,0
7371.42,0
7371.52,0
7371.62,0
7371.72,0
7371.82,0
7371.92,0
7372.02,0
7372.12,0
7372.22,0
7372.32,0
7372.42,0
7372.52,0
7372.62,0
7372.72,0
7372.82,0
7372.92,0
7373.02,0
7373.12,0
7373.22,0
7373.32,0
7373.42,0
7373.52,0
7373.62,0
7373.72,0
7373.82,0
7373.92,0
7374.02,0
7374.12,0
7374.22,0
7374.32,0
7374.42,0
7374.52,0
7374.62,0
7374.72,15.0529
7374.82,36.274
7374.92,57.3768
7375.02,77.4805
7375.12,98.0732
7375.22,118.506
7375.32,138.766
7375.42,158.838
7375.52,178.709
7375.62,198.364
7375.72,217.792
7375.82,236.978
7375.92,255.909
7376.02,293.787
7376.12,313.456
7376.22,332.811
7376.32,351.839
7376.42,370.527
7376.52,388.863
7376.62,406.833
7376.72,424.425
7376.82,441.627
7376.92,458.427
7377.02,457.535
7377.12,472.917
7377.22,487.88
7377.32,502.413
7377.42,516.506
7377.52,530.15
7377.62,543.335
7377.72,556.053
7377.82,568.294
7377.92,580.05
7378.02,552.16
7378.12,562.21
7378.22,571.786
7378.32,580.881
7378.42,589.488
7378.52,597.603
7378.62,605.219
7378.72,612.331
7378.82,618.934
7378.92,625.024
7379.02,652.924
7379.12,658.154
7379.22,662.841
7379.32,666.981
7379.42,670.572
7379.52,673.612
7379.62,676.097
7379.72,678.027
7379.82,679.4
7379.92,680.215
7380.02,694.151
7380.12,693.843
7380.22,692.965
7380.32,691.518
7380.42,689.504
7380.52,686.923
7380.62,683.777
7380.72,680.068
7380.82,675.799
7380.92,670.973
7381.02,622.576
7381.12,617.029
7381.22,610.971
7381.32,604.406
7381.42,597.34
7381.52,589.775
7381.62,581.719
7381.72,573.176
7381.82,564.152
7381.92,554.653
7382.02,570.913
7382.12,559.983
7382.22,548.577
7382.32,536.702
7382.42,524.368
7382.52,511.582
7382.62,498.353
7382.72,484.691
7382.82,470.604
7382.92,456.102
7383.02,388.338
7383.12,374.87
